Extraction Date:,6/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2014-2015,District of Columbia,25,17,14,11,6,0,0,8,29,17,6,5,11,6,1,11,457,370,0,138,93,45,45,274,26,22,0,9,0,2,15
2014-2015,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Florida,182,82,58,61,21,7,2,93,86,54,21,9,33,21,2,30,195,68,48,6,2,4,34,155,9,3,2,0,0,0,9
2014-2015,Georgia,120,88,30,88,0,0,0,32,74,56,13,4,43,30,0,18,101,62,39,4,0,4,16,81,6,3,2,0,0,0,6
2014-2015,Guam,10,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,5,0,0,0,0,6,0,0,0,0,0,0,0
2014-2015,Hawaii,12,8,0,8,0,0,0,4,3,2,2,0,0,0,1,0,70,54,28,11,1,10,11,48,1,1,0,1,0,0,0
2014-2015,Idaho,27,18,16,17,1,0,0,9,21,14,1,1,13,13,0,7,9,8,0,4,2,2,0,5,1,0,0,0,0,0,1
2014-2015,Illinois,128,79,49,63,16,10,1,39,246,194,130,96,64,49,20,32,320,74,28,8,1,7,90,222,9,2,0,1,1,0,8
2014-2015,Indiana,108,46,32,46,0,0,0,62,59,53,6,6,47,47,0,6,64,46,38,1,1,0,2,61,7,5,3,0,0,1,6
2014-2015,Iowa,15,8,0,3,5,3,0,4,21,7,4,3,3,3,6,8,18,2,1,0,0,0,6,12,0,0,0,0,0,0,0
2014-2015,Kansas,29,21,12,21,0,0,0,8,19,15,1,1,14,11,0,4,8,4,2,1,0,1,0,7,1,0,0,0,0,0,1
2014-2015,Kentucky,10,7,6,3,4,0,0,3,14,14,9,7,5,5,0,0,21,6,1,0,0,0,10,11,0,0,0,0,0,0,0
2014-2015,Louisiana,37,11,3,8,3,3,0,23,12,9,3,3,6,5,1,2,14,8,4,1,0,1,0,13,0,0,0,0,0,0,0
2014-2015,Maine,22,2,1,2,0,0,0,20,74,50,32,18,18,13,0,24,39,4,1,1,0,1,3,35,4,0,0,0,0,0,4
2014-2015,Maryland,94,72,67,70,2,4,1,18,253,129,59,51,70,54,13,111,211,71,43,15,5,10,25,171,0,0,0,0,0,0,0
2014-2015,Massachusetts,393,274,188,274,0,26,14,93,"1,085",658,31,27,627,528,94,333,492,19,8,5,0,5,196,291,5,5,0,0,0,0,5
2014-2015,Michigan,223,147,120,130,16,2,1,74,101,76,16,12,60,47,3,22,63,27,10,2,1,1,13,48,10,4,4,1,1,1,8
2014-2015,Minnesota,87,66,45,63,3,3,1,18,71,32,1,0,31,26,9,30,18,10,4,1,1,0,3,14,2,1,1,0,0,0,2
2014-2015,Mississippi,61,37,25,37,0,0,0,24,15,10,1,1,9,9,0,5,12,7,3,0,0,0,0,12,0,0,0,0,0,0,0
2014-2015,Missouri,68,52,33,51,1,0,0,16,42,32,5,2,27,26,2,8,48,36,16,1,0,1,19,28,1,1,0,0,0,0,1
2014-2015,Montana,5,1,1,1,0,0,0,4,2,2,1,0,1,1,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0
2014-2015,Nebraska,9,6,5,5,0,0,0,3,3,3,0,0,3,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-2015,Nevada,15,12,8,8,0,0,0,3,4,3,2,2,1,1,0,1,83,81,65,2,1,1,11,70,0,0,0,0,0,0,0
2014-2015,New Hampshire,36,18,12,16,2,0,0,18,37,36,14,14,22,16,0,1,38,5,2,5,4,1,0,33,2,0,0,1,0,0,1
2014-2015,New Jersey,244,112,31,103,9,71,71,61,884,727,389,96,338,143,18,139,"1,211",13,8,52,45,5,269,890,14,1,1,2,0,0,12
2014-2015,New Mexico,38,19,18,18,0,1,1,18,31,29,14,10,15,12,1,1,23,11,11,2,0,2,2,19,0,0,0,0,0,0,0
2014-2015,New York,276,175,151,166,7,0,0,101,337,218,20,15,198,178,2,117,"5,170","4,797",231,459,94,300,"1,219","3,492",34,25,3,6,2,4,24
2014-2015,North Carolina,104,64,47,51,9,0,0,40,90,70,23,13,47,33,5,15,51,18,3,4,0,4,20,27,3,0,0,0,0,1,2
2014-2015,North Dakota,5,1,0,1,0,0,0,4,6,5,0,0,5,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-2015,Northern Marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Ohio,156,83,62,80,3,0,0,73,184,148,70,41,78,67,1,35,175,79,34,12,7,5,13,150,25,17,9,4,0,0,21
2014-2015,Oklahoma,36,22,7,20,2,0,0,14,23,23,2,2,21,20,0,0,16,9,9,0,0,0,0,16,0,0,0,0,0,0,0
2014-2015,Oregon,46,16,11,12,4,10,0,20,52,30,4,4,26,22,12,10,14,2,0,1,0,1,1,12,0,0,0,0,0,0,0
2014-2015,Pennsylvania,225,96,62,93,3,4,4,125,386,186,19,10,167,135,57,143,804,503,167,65,17,47,178,561,20,12,5,5,0,0,15
2014-2015,Puerto Rico,35,28,20,25,3,0,0,7,747,351,317,302,34,34,0,396,"2,354",353,231,"1,628",931,84,87,639,0,0,0,0,0,0,0
2014-2015,Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Republic of the Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Rhode Island,17,15,10,15,0,0,0,2,57,42,2,1,40,0,0,15,29,15,9,5,2,3,3,21,0,0,0,0,0,0,0
2014-2015,South Carolina,46,30,25,30,0,0,0,16,5,2,1,0,1,0,0,3,25,14,6,1,1,0,1,23,6,3,3,0,0,0,6
2014-2015,South Dakota,8,8,8,7,1,0,0,0,7,4,1,1,3,2,0,3,3,1,1,1,0,1,0,2,1,1,1,0,0,0,1
2014-2015,Tennessee,70,45,19,44,1,4,4,21,30,17,11,8,6,6,7,6,56,24,13,0,0,0,10,46,2,1,1,0,0,0,2
2014-2015,Texas,277,124,56,123,1,10,4,143,305,176,110,79,66,61,79,50,370,143,67,14,1,13,86,270,33,17,14,1,0,3,29
2014-2015,Utah,20,17,11,17,0,1,0,2,7,6,1,1,5,5,0,1,6,5,0,1,1,0,0,5,0,0,0,0,0,0,0
2014-2015,Vermont,8,6,6,4,2,0,0,2,42,36,17,15,19,15,0,6,27,6,6,0,0,0,0,27,1,1,1,0,0,0,1
2014-2015,Virgin Islands,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,3,0,0,0,0,0,0,0
2014-2015,Virginia,129,38,20,31,7,15,0,76,142,119,11,6,108,85,1,22,52,33,20,5,5,0,4,43,3,1,1,0,0,0,3
2014-2015,Washington,81,72,57,69,3,0,0,9,67,39,17,13,22,20,0,28,107,48,9,11,0,11,12,84,8,6,1,1,0,0,7
2014-2015,West Virginia,39,20,8,17,3,0,0,19,14,10,1,1,9,9,0,4,15,10,10,1,0,1,0,14,0,0,0,0,0,0,0
2014-2015,Wisconsin,69,50,33,48,2,1,0,18,87,67,6,3,61,59,0,20,18,6,3,3,2,1,0,15,0,0,0,0,0,0,0
2014-2015,Wyoming,7,5,4,5,0,0,0,2,1,1,1,1,0,0,0,0,4,3,3,0,0,0,0,4,1,1,1,0,0,0,1
2014-2015,"US, Outlying Areas, and Freely Associated States","4,991","3,016","1,904","2,814",151,191,111,"1,784","10,260","6,364","3,574","2,264","2,790","2,095",925,"2,971","17,107","7,855","1,432","2,571","1,233",656,"3,417","11,119",314,147,62,38,5,26,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Data suppressed for data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
