Extraction Date:,6/5/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2012-2013,Hawaii,19,17,7,17,0,1,1,1,6,3,3,2,0,0,0,3,61,57,25,5,0,5,25,31,2,2,2,0,0,0,2
2012-2013,Idaho,27,20,12,20,0,0,0,7,29,16,1,1,15,12,0,13,4,3,2,1,1,0,0,3,0,0,0,0,0,0,0
2012-2013,Illinois,103,70,48,63,7,8,1,25,235,180,136,84,44,36,26,29,337,75,20,9,1,8,85,243,13,2,2,0,0,0,13
2012-2013,Indiana,133,92,71,92,0,0,0,41,52,42,10,6,32,26,0,10,65,45,33,5,2,3,1,59,13,9,4,4,0,0,9
2012-2013,Iowa,14,6,3,3,3,4,0,4,17,12,3,3,9,9,0,5,9,2,2,2,0,2,3,4,1,1,1,0,0,0,1
2012-2013,Kansas,33,21,10,21,0,0,0,12,12,12,2,1,10,7,0,0,8,7,6,0,0,0,0,8,1,1,1,0,0,0,1
2012-2013,Kentucky,24,13,12,8,5,0,0,11,21,17,8,5,9,7,2,2,16,2,0,2,0,0,6,8,0,0,0,0,0,0,0
2012-2013,Louisiana,54,19,3,16,3,1,0,34,4,4,2,0,2,2,0,0,15,8,5,0,0,0,2,13,1,1,0,0,0,0,1
2012-2013,Maine,25,5,3,3,2,0,0,20,82,42,23,11,19,17,0,40,50,11,4,5,3,2,4,41,4,4,0,0,0,0,4
2012-2013,Maryland,109,86,73,79,7,1,0,22,298,159,58,45,101,76,23,116,233,87,56,17,3,14,31,185,0,0,0,0,0,0,0
2012-2013,Massachusetts,258,182,151,180,2,11,11,65,1138,692,25,22,667,575,165,281,552,23,11,18,1,16,218,316,8,0,0,0,0,2,6
2012-2013,Michigan,274,172,125,145,25,5,0,97,151,82,14,8,68,56,5,64,86,50,27,6,1,5,11,69,22,15,10,1,0,1,20
2012-2013,Minnesota,59,37,32,27,8,6,0,16,58,27,1,0,26,24,9,22,30,13,2,1,1,0,10,19,6,4,1,1,1,0,5
2012-2013,Mississippi,30,17,14,17,0,0,0,13,25,22,11,8,11,11,0,3,25,12,8,2,1,1,0,23,1,0,0,0,0,0,1
2012-2013,Missouri,92,72,42,70,2,0,0,20,58,35,12,10,23,23,0,23,67,39,16,3,3,0,6,58,4,1,1,1,0,0,3
2012-2013,Montana,8,6,5,5,1,0,0,2,2,2,2,0,0,0,0,0,4,1,0,0,0,0,2,2,0,0,0,0,0,0,0
2012-2013,Nebraska,10,7,4,7,0,0,0,3,4,3,0,0,3,3,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2012-2013,Nevada,25,21,13,12,9,1,0,3,2,1,1,1,0,0,0,1,81,79,63,3,0,3,9,69,3,3,1,0,0,1,2
2012-2013,New Hampshire,38,12,7,12,0,1,0,25,21,14,7,6,7,4,2,5,30,1,0,6,5,1,3,21,0,0,0,0,0,0,0
2012-2013,New Jersey,186,110,40,91,19,22,1,54,783,686,365,104,321,137,10,87,900,14,12,45,39,5,232,623,14,14,0,12,0,1,1
2012-2013,New Mexico,64,28,20,28,0,0,0,36,42,35,20,20,15,15,0,7,46,26,11,5,0,5,7,34,0,0,0,0,0,0,0
2012-2013,New York,243,168,145,154,14,1,0,74,319,177,5,5,172,158,28,114,6025,5433,325,753,126,501,1301,3971,27,24,5,7,2,3,17
2012-2013,North Carolina,85,45,30,43,1,0,0,40,62,37,10,8,27,23,3,22,47,27,13,0,0,0,9,38,7,6,6,0,0,0,7
2012-2013,North Dakota,6,4,4,4,0,0,0,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Northern Marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Ohio,240,96,63,79,10,24,0,120,140,120,50,36,70,58,3,17,123,57,21,5,1,4,2,116,24,12,9,1,0,0,23
2012-2013,Oklahoma,17,15,7,15,0,0,0,2,8,8,0,0,8,7,0,0,16,8,5,1,0,1,0,15,1,1,1,1,0,0,0
2012-2013,Oregon,36,21,6,13,8,0,0,15,60,35,7,6,28,23,16,9,15,0,0,0,0,0,4,11,1,0,0,0,0,0,1
2012-2013,Pennsylvania,254,125,77,124,1,8,8,121,361,162,9,9,153,117,45,154,739,420,115,53,12,41,148,538,18,12,4,5,2,0,13
2012-2013,Puerto Rico,82,70,39,68,2,0,0,12,878,679,643,495,36,36,1,198,2225,1315,367,1180,791,176,77,968,1,1,0,1,0,0,0
2012-2013,Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Republic of the Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Rhode Island,14,10,7,10,0,1,1,3,77,53,1,0,52,45,0,24,23,11,6,4,0,4,1,18,0,0,0,0,0,0,0
2012-2013,South Carolina,39,28,23,28,0,0,0,11,10,5,0,0,5,5,0,5,13,8,5,0,0,0,0,13,2,1,1,0,0,0,2
2012-2013,South Dakota,3,2,2,1,1,0,0,1,3,2,2,1,0,0,0,1,4,1,0,1,0,1,0,3,0,0,0,0,0,0,0
2012-2013,Tennessee,88,57,20,57,0,7,7,24,33,26,8,7,18,15,4,3,55,37,21,1,0,1,14,40,3,3,3,0,0,0,3
2012-2013,Texas,288,140,60,134,6,13,12,135,327,168,79,60,89,65,87,72,305,125,52,14,3,10,71,220,15,6,3,1,0,0,14
2012-2013,Utah,21,19,12,19,0,0,0,2,6,5,2,1,3,3,0,1,8,7,0,1,1,0,0,7,0,0,0,0,0,0,0
2012-2013,Vermont,11,11,7,10,1,0,0,0,31,15,3,3,12,10,0,16,13,1,1,2,2,0,0,11,0,0,0,0,0,0,0
2012-2013,Virgin Islands,6,2,1,2,0,0,0,4,3,3,1,1,2,2,0,0,7,4,4,1,0,1,1,5,0,0,0,0,0,0,0
2012-2013,Virginia,153,78,47,60,18,0,0,75,122,101,16,4,85,79,2,19,47,30,17,6,5,1,6,35,5,1,1,0,0,0,5
2012-2013,Washington,74,50,43,47,3,15,0,9,96,55,8,7,47,36,0,41,121,69,27,10,1,8,22,89,9,8,4,1,0,0,8
2012-2013,West Virginia,26,16,12,16,0,0,0,10,12,11,1,1,10,10,0,1,18,14,14,0,0,0,1,17,0,0,0,0,0,0,0
2012-2013,Wisconsin,62,48,32,46,2,4,4,10,74,49,5,2,44,35,1,24,34,17,7,5,2,3,1,28,1,1,1,0,0,0,1
2012-2013,Wyoming,10,5,4,5,0,0,0,5,8,7,1,1,6,5,0,1,4,2,1,1,0,1,0,3,0,0,0,0,0,0,0
2012-2013,"US, Outlying Areas, and Freely Associated States",5076,3198,2104,2969,205,150,49,1728,9680,6200,3437,2199,2763,2139,978,2502,16980,9249,1615,2543,1176,1016,3273,11164,364,194,74,59,9,15,290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
