Extraction Date:,6/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2013-2014,North Carolina,114,80,59,58,13,0,0,34,69,44,13,11,31,23,0,25,36,20,10,0,0,0,2,34,1,1,1,0,0,0,1
2013-2014,North Dakota,3,1,1,1,0,0,0,2,2,1,0,0,1,0,0,1,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0
2013-2014,Northern Marianas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Ohio,202,114,78,103,8,0,0,88,156,128,58,43,70,59,0,28,126,66,28,6,3,3,3,117,26,19,12,3,0,0,23
2013-2014,Oklahoma,35,22,12,21,1,0,0,13,17,16,1,1,15,12,0,1,19,9,6,1,0,1,1,17,1,1,1,0,0,0,1
2013-2014,Oregon,44,19,9,14,5,8,0,17,43,32,13,12,19,15,2,9,23,4,1,3,1,2,5,15,1,1,1,0,0,0,1
2013-2014,Pennsylvania,250,88,64,88,0,3,3,159,271,113,12,7,101,80,21,137,712,382,127,55,13,34,147,510,17,4,0,3,0,2,12
2013-2014,Puerto Rico,27,9,7,8,1,0,0,18,879,578,533,463,45,45,0,301,"2,420",573,302,"1,347",905,204,193,880,0,0,0,0,0,0,0
2013-2014,Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Republic of the Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014,Rhode Island,16,12,11,12,0,1,1,3,63,41,0,0,41,41,0,22,38,28,16,1,1,0,3,34,0,0,0,0,0,0,0
2013-2014,South Carolina,39,20,20,20,0,0,0,19,8,2,0,0,2,2,0,6,17,13,8,3,2,1,0,14,3,3,3,0,0,0,3
2013-2014,South Dakota,5,4,4,4,0,0,0,1,2,1,0,0,1,1,0,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,1
2013-2014,Tennessee,72,47,19,47,0,8,8,17,32,16,9,7,7,7,9,7,62,32,24,1,0,1,10,51,4,4,4,0,0,0,4
2013-2014,Texas,297,120,52,115,4,14,11,163,343,193,108,85,85,69,85,65,320,108,31,16,4,12,62,242,12,4,2,2,0,0,10
2013-2014,Utah,22,18,10,17,1,4,0,0,5,3,1,1,2,2,0,2,6,0,0,1,0,1,0,5,0,0,0,0,0,0,0
2013-2014,Vermont,9,3,3,3,0,0,0,6,27,25,7,6,18,13,0,2,14,1,1,3,2,1,0,11,0,0,0,0,0,0,0
2013-2014,Virgin Islands,5,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0
2013-2014,Virginia,125,55,22,39,16,4,0,66,116,89,8,4,81,66,0,27,54,35,17,8,8,0,4,42,8,7,6,1,0,1,6
2013-2014,Washington,83,69,63,63,0,0,0,14,91,50,16,13,34,26,5,36,105,47,13,9,3,6,33,63,4,2,1,3,1,0,1
2013-2014,West Virginia,37,17,14,16,0,0,0,20,17,13,1,0,12,11,0,4,22,13,11,2,0,2,0,20,1,1,1,0,0,0,1
2013-2014,Wisconsin,67,54,41,54,0,0,0,13,68,43,6,3,37,32,0,25,25,11,7,6,1,5,0,19,1,0,0,0,0,0,1
2013-2014,Wyoming,7,5,5,4,0,0,0,2,7,5,1,1,4,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-2014,"US, Outlying Areas, and Freely Associated States","4,997","3,043","1,886","2,814",170,109,78,"1,845","9,688","6,035","3,425","2,298","2,610","1,991",801,"2,852","18,011","8,910","1,463","2,813","1,315","1,133","3,976","11,222",327,141,70,51,8,18,258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
